year,state,total_revenue,total_revenue_pp,federal_revenue,federal_revenue_pp,state_revenue,state_revenue_pp,local_revenue,local_revenue_pp,current_spending,current_spending_pp,total_salary,total_salary_pp,total_benefits,total_benefits_pp,all_instruction,all_instruction_pp,instructional_staff_salary,instructional_staff_salary_pp,instructional_staff_benefits,instructional_staff_benefits_pp,all_support_services,all_support_services_pp,support_services_staff_salary,support_services_staff_salary_pp,support_services_staff_benefits,support_services_staff_benefits_pp,ss_pupil_support_services,ss_pupil_support_services_pp,ss_instructional_staff_support_services,ss_instructional_staff_support_services_pp,ss_general_administration,ss_general_administration_pp,ss_school_administration,ss_school_administration_pp,ss_operation_and_maintenance_of_plant,ss_operation_and_maintenance_of_plant_pp,ss_pupil_transportation,ss_pupil_transportation_pp,ss_other_nonspecified_support_services,ss_other_nonspecified_support_services_pp,total_capital_outlay,total_capital_outlay_pp,short_term_debt,short_term_debt_pp,long_term_debt,long_term_debt_pp,enrollment,cpi,total_debt,total_debt_pp
2015,Texas,60231746193.52837,12034.640832668545,6338562387.856732,1266.4793272196066,22792659067.726013,4554.101212166835,31100524737.945625,6214.060293282104,48564244788.43937,9632.693532594349,32897077178.940884,6573.0153158914,5760339448.904811,1150.9475752953283,29074089330.198063,5809.166506687863,22079869031.460785,4411.675825103239,3721362736.8483434,743.5535720147316,16464056238.686842,3289.6111877889803,9815127821.893295,1961.1156162404304,1753799822.709316,350.421674353692,2452557121.0596933,490.0316000183051,2507551017.652178,501.0216829309363,721648412.6900597,144.18640925137643,2746606518.4912057,548.7866921476544,4761730076.30911,951.4194132168441,1281938275.6964147,256.1417642634336,1992024816.788181,398.01275545309835,7354121055.484455,1469.3990875856684,3736555357.8955183,746.5864435603538,78436155437.35487,15671.977808992886,5004866,236.6704167,82172710795.2504,16418.56425255324
2016,Texas,62742989822.42836,12416.260270352037,6428876177.652167,1272.2124279739392,23761909037.912014,4702.264989679334,32552204606.864178,6441.782852698763,49551970530.529305,9736.019440457512,34229772157.461163,6773.758257888218,5988930474.783764,1185.1528444518071,30087713234.31858,5954.078564605232,22913312431.610477,4534.3335107221665,3850397439.7101135,761.9603340761148,16380642915.70709,3241.5818458517883,10292341193.896656,2036.7644638666393,1843879215.918783,364.8900182600895,2551448367.870825,504.9067089011171,2615652380.9979444,517.6168465599548,743694235.6479721,147.16546815177568,2858453805.933236,565.6605189849071,3924971499.7308455,776.7114369155134,1408483029.614244,278.7267316161933,2277939595.9120235,450.7833359647581,8998185690.542294,1780.6611293577232,3907346847.5023074,773.2234382206922,80999920105.39488,16029.146596459963,5053291,238.2429167,84907266952.89719,16802.370034680654
2017,Texas,62433696327.16316,12272.551088670993,6325368632.866174,1243.3683708066037,22257599945.649895,4375.165666384602,33850727748.647095,6654.017051479787,50914358337.36258,9938.953414572847,34367826803.213234,6755.664498993419,6065130812.298108,1192.2159996913272,29888132194.088238,5875.091007344509,22888637858.9361,4499.20354038434,3884281009.343178,763.5326259260792,18001084456.89181,3538.46129632637,10449485882.886383,2054.0459903802757,1880929404.081872,369.72827826844957,2582365701.8559284,507.6117474343121,2648036865.1457896,520.5244081635157,757083716.630862,148.82424574430092,2882100573.9943724,566.5350383480337,5361610254.179749,1053.9296724731578,1448813255.649862,284.7888383978598,2321074089.43525,456.2473457651899,10421610225.972288,2048.565000563364,4160322527.242133,817.7912446551952,84445571943.65573,16599.41619488954,5087263,242.6751667,88605894470.89786,17417.207439544738
2018,Texas,64205900801.186066,12568.101712338015,6540497762.834425,1280.2800892772582,21663210263.828857,4240.511115517377,36002192774.52278,7047.320875946827,51244478888.27396,9959.898719942854,34681878205.85455,6788.867683214344,6204132239.237058,1214.4407273864865,30165985405.296185,5904.899078905742,23037422904.137524,4509.50897455583,3978099266.34869,778.6982041074995,18098965821.081764,3542.821247544145,10611315440.170837,2077.133367821095,1932984565.213405,378.3741470047132,2648638728.9995427,518.46164598207,2672258988.8929863,523.085953919595,767572907.2084762,150.24853435577506,2923991382.510886,572.3669755049237,5543389140.108169,1085.105262784048,1472095553.053522,288.15866860918504,2071019120.3081834,405.394206388548,10524577524.291555,2060.14992297431,4269460734.7827663,835.7347914714576,87268699335.92067,17082.57715214513,5108638,248.1315,91538160070.70343,17918.31194361659
2019,Texas,66996007380.25721,13085.274633605972,6966995719.043175,1360.7555177642753,21679891490.390873,4234.390552027597,38349120170.823166,7490.128563814101,51481775207.9349,9982.849168657876,34637260062.69003,6765.154854718565,6222190526.119257,1215.285356703713,30188265468.240307,5896.1941300593135,22869749028.648308,4466.7872611464845,3973832363.824065,776.1422287367409,18288543187.538593,3572.0137097236234,10744671932.378489,2098.5899268530147,1953144146.2663734,381.4731486135635,2704197851.4855676,528.1724919009641,2706868529.232971,528.6905769717805,799249838.7482256,156.1061428084957,2926072354.401486,571.498625764323,5403196566.907532,1055.3189721910962,1467105176.7128105,286.54167828458634,2281852870.050002,445.675063271577,10096858359.829851,1972.0654257350468,4372643076.954533,854.0378429135839,89461371709.92491,17473.079317779982,5119954,253.2578333,93834014786.87944,18327.117160693568
2020,Texas,68895446000,13345.899971194973,6833974000,1323.825284616739,23549431000,4561.816037950577,38512041000,7460.258648627654,53835506000,10428.603335765714,36180067000,7008.526443578464,6686632000,1295.2833169291243,31733698000,6147.209776740685,23842451000,4618.577635945887,4286111000,830.2727102084287,19200781000,3719.428749976028,11270480000,2183.231366371494,2098415000,406.4889381520963,2918449000,565.3396659197764,2847141000,551.5264244009396,778509000,150.8068216972574,3042431000,589.356512696974,5602987000,1085.3678781890142,1442023000,279.3376896662007,2569241000,497.69375740586594,11525297000,2232.5925707820147,4753120000,920.7381293545328,93376814000,18088.24373200049,5162293,257.27275,98129934000,19008.981861355023
2002,United States,606187794901.1519,12851.58972035985,47223824523.455315,1001.1832841064203,299449072766.661,6348.5191751639795,259514897611.03552,5501.88726108945,535051124808.54974,11120.247599883956,342141311919.1363,7253.618668165832,89955097896.56685,1907.1058573747227,324633161475.3389,6818.570207330482,232057976714.58875,4919.781792648309,60217983297.968094,1276.6552532831327,181192159192.13522,3841.3878035469797,98812397491.88167,2094.8836781627906,26572560138.158543,563.3623423735523,26699845891.36392,566.0481832430218,25117632919.16461,532.5040523840029,10548795966.89171,223.64679239969186,29683394893.208435,629.3098437222993,49994149528.27424,1059.9107831178837,21832010571.531895,462.85990983856686,17316329421.700405,367.1226788461884,76418114798.32915,1620.1107644677058,10314892439.171675,218.67943079164087,316674700186.9991,6713.706893383777,47168335,178.1666667,326989592626.1708,6932.386324175418
2003,United States,622111468137.1261,13060.615810157773,52002075287.953026,1091.728454836533,304547053746.40436,6393.668771045962,265562339102.76877,5575.218584275279,550833842597.5289,11329.844026574556,348731122683.6678,7321.26354580179,96753157777.39267,2031.2337652132655,333491982310.2014,6925.912884183623,235804139951.6774,4950.473549773378,64422660169.79128,1352.4886510635688,187819895236.63358,3943.0937279816767,100968927888.72198,2119.7362505386964,28633846001.35301,601.1358944988997,27935849053.470165,586.4843815227707,26299009433.55059,552.1232633376736,10758162335.644928,225.86218557029662,30496155027.613625,640.2301436839997,51660032397.269226,1084.5510502156328,22540075474.84187,473.20007000627885,18130587495.36944,380.6285048957707,71363498664.68655,1498.2125708666492,14142575647.760271,296.9156655673579,341655589170.6369,7172.713876147963,47632643,182.0916667,355798164818.39716,7469.629541715321
2004,United States,639608858997.5997,13353.613472046498,57093686223.56981,1191.9862491321337,301495890084.5145,6294.564378353926,281019282689.5154,5867.062844560437,560185362473.0206,11455.87990505635,348113535448.00934,7267.844022275169,103524982389.78102,2161.3675767225836,338949851721.64233,6989.943833630043,235805770779.30338,4923.103516020795,68557431880.37163,1431.3318127893847,191455212013.70618,3997.1566207400983,100804827108.96292,2104.5793374073482,31061917232.39724,648.5028925891734,28743180707.879936,600.0918862401096,26200803857.94444,547.0084298208047,10975818837.499361,229.1574106934415,30899784597.34156,645.1160574790875,52770830802.91869,1101.7443732193155,23256556212.899574,485.5477404353284,18608236997.222626,388.5045466687869,72255291808.86092,1508.5240056657901,12611141802.541733,263.28841431304136,366665085119.77924,7655.159720701232,47897808,186.1083333,379276226922.321,7918.448135014273
2005,United States,655532682151.6666,13634.19421434533,59527367619.29708,1238.0898803208138,308037285626.90924,6406.762504603547,287968028905.4604,5989.3418294209705,573284025348.2551,11677.337684480959,350731964217.13226,7294.7493995696395,110185171961.5845,2291.7003020344287,346705440344.57355,7117.114442918623,237263471246.57538,4934.751704486176,73220820457.93167,1522.8882646583204,196380168626.10852,4084.4364114632235,101912464017.80516,2119.6348910928536,33006997362.627804,686.5035462050078,29564114908.346375,614.8912669144497,26970268764.663536,560.9404867892541,10841101934.599634,225.4793673839332,31453978526.711006,654.2001810902451,54051951258.52243,1124.2027360067814,23957990033.155975,498.29316300208666,19540763200.109547,406.4157896844027,72769307452.71127,1513.5072708007303,12029013563.226397,250.18667738654145,387208997917.97864,8053.415469340115,48080063,191.7,399238011481.205,8303.602146726656
