year,state,all_instruction_pp,cpi
2011,Mississippi,4562.79,221.0613333
2011,Missouri,5688.49,221.0613333
2011,Montana,6377.6,221.0613333
2011,Nebraska,7061.58,221.0613333
2011,Nevada,5031.42,221.0613333
2011,New Hampshire,8332.43,221.0613333
2011,New Jersey,9256.28,221.0613333
2011,New Mexico,5264.61,221.0613333
2011,New York,13287.14,221.0613333
2011,North Carolina,5224.86,221.0613333
2011,North Dakota,6866.59,221.0613333
2011,Ohio,6251.37,221.0613333
2011,Oklahoma,4311.06,221.0613333
2011,Oregon,5625.48,221.0613333
2011,Pennsylvania,8194.17,221.0613333
2011,Rhode Island,8153.74,221.0613333
2011,South Carolina,5091.63,221.0613333
2011,South Dakota,5256.52,221.0613333
2011,Tennessee,5015.47,221.0613333
2011,Texas,5240.41,221.0613333
2011,Utah,3955.55,221.0613333
2011,Vermont,9630.85,221.0613333
2011,Virginia,6281.2,221.0613333
2011,Washington,5759.64,221.0613333
2011,West Virginia,7125.82,221.0613333
2011,Wisconsin,7102.57,221.0613333
2011,Wyoming,9366.34,221.0613333
2012,United States,6430.06,227.5535
2012,Alabama,4959.36,227.5535
2012,Alaska,9602.72,227.5535
2012,Arizona,4155.52,227.5535
2012,Arkansas,5349.92,227.5535
2012,California,5514.9,227.5535
2012,Colorado,4943.58,227.5535
2012,Connecticut,10078.09,227.5535
2012,Delaware,8832.14,227.5535
2012,District of Columbia,10635.44,227.5535
2012,Florida,5100.07,227.5535
2012,Georgia,5692.55,227.5535
2012,Hawaii,6912.41,227.5535
2012,Idaho,4011.54,227.5535
2012,Illinois,7105.91,227.5535
2012,Indiana,5618.15,227.5535
2012,Iowa,6196.03,227.5535
2012,Kansas,6040.23,227.5535
2012,Kentucky,5423.17,227.5535
2012,Louisiana,6560.07,227.5535
2012,Maine,7019.74,227.5535
2012,Maryland,8363.56,227.5535
2012,Massachusetts,8665.43,227.5535
2012,Michigan,6381.77,227.5535
2012,Minnesota,7093.12,227.5535
2012,Mississippi,4670.29,227.5535
2012,Missouri,5661.3,227.5535
2012,Montana,6244.55,227.5535
2012,Nebraska,7469.88,227.5535
2012,Nevada,4782.35,227.5535
2012,New Hampshire,8664.21,227.5535
2012,New Jersey,9964.24,227.5535
2012,New Mexico,5138.19,227.5535
2012,New York,13582.36,227.5535
2012,North Carolina,5143.91,227.5535
2012,North Dakota,7029.74,227.5535
2012,Ohio,6183.12,227.5535
2012,Oklahoma,4064.82,227.5535
2012,Oregon,5499.67,227.5535
2012,Pennsylvania,8134.98,227.5535
2012,Rhode Island,8321.7,227.5535
2012,South Carolina,5152.99,227.5535
2012,South Dakota,5027.43,227.5535
2012,Tennessee,5158.29,227.5535
2012,Texas,4933.69,227.5535
2012,Utah,3903.02,227.5535
2012,Vermont,9667.73,227.5535
2012,Virginia,6456.14,227.5535
2012,Washington,5614.87,227.5535
2012,West Virginia,6714.05,227.5535
2012,Wisconsin,6522.66,227.5535
2012,Wyoming,9398.42,227.5535
2013,United States,6503.92,231.3886667
2013,Alabama,5030.94,231.3886667
2013,Alaska,10104.81,231.3886667
2013,Arizona,4016.16,231.3886667
2013,Arkansas,5318.93,231.3886667
2013,California,5506.58,231.3886667
2013,Colorado,5035.89,231.3886667
2013,Connecticut,10285.18,231.3886667
2013,Delaware,8636.95,231.3886667
2013,District of Columbia,10771.05,231.3886667
2013,Florida,5161.51,231.3886667
2013,Georgia,5615.85,231.3886667
2013,Hawaii,6948.86,231.3886667
2013,Idaho,4092.33,231.3886667
2013,Illinois,7290.75,231.3886667
2013,Indiana,5516.75,231.3886667
2013,Iowa,6356.47,231.3886667
2013,Kansas,6072.35,231.3886667
2013,Kentucky,5348.24,231.3886667
2013,Louisiana,5905.25,231.3886667
2013,Maine,6969.52,231.3886667
2013,Maryland,8499.36,231.3886667
2013,Massachusetts,8934.32,231.3886667
2013,Michigan,6433.35,231.3886667
2013,Minnesota,7260.73,231.3886667
2013,Mississippi,4614.73,231.3886667
2013,Missouri,5728.35,231.3886667
2013,Montana,6351.8,231.3886667
2013,Nebraska,7645.59,231.3886667
2013,Nevada,4767.61,231.3886667
2013,New Hampshire,8659.66,231.3886667
2013,New Jersey,10815.46,231.3886667
2013,New Mexico,5225.4,231.3886667
2013,New York,13756.03,231.3886667
2013,North Carolina,5231.63,231.3886667
2013,North Dakota,7116.75,231.3886667
2013,Ohio,6171.63,231.3886667
2013,Oklahoma,4170.34,231.3886667
2013,Oregon,5517.36,231.3886667
2013,Pennsylvania,8556.78,231.3886667
2013,Rhode Island,8414.71,231.3886667
2013,South Carolina,5348.79,231.3886667
2013,South Dakota,5019.23,231.3886667
2013,Tennessee,5230.7,231.3886667
2013,Texas,4946.69,231.3886667
2013,Utah,4199.03,231.3886667
2013,Vermont,9874.37,231.3886667
2013,Virginia,6672.66,231.3886667
2013,Washington,5625.02,231.3886667
2013,West Virginia,6475.98,231.3886667
2013,Wisconsin,6526.92,231.3886667
2013,Wyoming,9252.09,231.3886667
2014,United States,6653.84,234.989
2014,Alabama,5164,234.989
2014,Alaska,10314.6,234.989
2014,Arizona,4091.03,234.989
2014,Arkansas,5430.49,234.989
2014,California,5708.51,234.989
2014,Colorado,5158.63,234.989
2014,Connecticut,11030.81,234.989
2014,Delaware,8633.21,234.989
2014,District of Columbia,9477.46,234.989
2014,Florida,5370.11,234.989
2014,Georgia,5589.69,234.989
2014,Hawaii,7420.68,234.989
2014,Idaho,3939.46,234.989
2014,Illinois,7822.4,234.989
2014,Indiana,5470.54,234.989
2014,Iowa,6510.43,234.989
2014,Kansas,6110.1,234.989
2014,Kentucky,5329.03,234.989
2014,Louisiana,6050.19,234.989
2014,Maine,7284.27,234.989
2014,Maryland,8635.05,234.989
2014,Massachusetts,9225.37,234.989
2014,Michigan,6496.77,234.989
2014,Minnesota,7440.89,234.989
2014,Mississippi,4628.31,234.989
2014,Missouri,5871.46,234.989
2014,Montana,6589.56,234.989
2014,Nebraska,7713.61,234.989
2014,Nevada,4829.33,234.989
2014,New Hampshire,9012.94,234.989
2014,New Jersey,10390.93,234.989
2014,New Mexico,5233.94,234.989
2014,New York,14286.54,234.989
2014,North Carolina,5254.04,234.989
2014,North Dakota,7346.32,234.989
2014,Ohio,6508.85,234.989
2014,Oklahoma,4228.06,234.989
2014,Oregon,5765.71,234.989
2014,Pennsylvania,8496.53,234.989
2014,Rhode Island,8550.1,234.989
2014,South Carolina,5424.9,234.989
2014,South Dakota,5246.52,234.989
2014,Tennessee,5336.15,234.989
2014,Texas,5124.73,234.989
2014,Utah,4096.28,234.989
2014,Vermont,10164.62,234.989
2014,Virginia,6645.01,234.989
2014,Washington,5925.48,234.989
2014,West Virginia,6497.51,234.989
