year,state,total_revenue,total_revenue_pp,federal_revenue,federal_revenue_pp,state_revenue,state_revenue_pp,local_revenue,local_revenue_pp,current_spending,current_spending_pp,total_salary,total_salary_pp,total_benefits,total_benefits_pp,all_instruction,all_instruction_pp,instructional_staff_salary,instructional_staff_salary_pp,instructional_staff_benefits,instructional_staff_benefits_pp,all_support_services,all_support_services_pp,support_services_staff_salary,support_services_staff_salary_pp,support_services_staff_benefits,support_services_staff_benefits_pp,ss_pupil_support_services,ss_pupil_support_services_pp,ss_instructional_staff_support_services,ss_instructional_staff_support_services_pp,ss_general_administration,ss_general_administration_pp,ss_school_administration,ss_school_administration_pp,ss_operation_and_maintenance_of_plant,ss_operation_and_maintenance_of_plant_pp,ss_pupil_transportation,ss_pupil_transportation_pp,ss_other_nonspecified_support_services,ss_other_nonspecified_support_services_pp,total_capital_outlay,total_capital_outlay_pp,short_term_debt,short_term_debt_pp,long_term_debt,long_term_debt_pp,enrollment,cpi
2002,Nebraska,2472198000,8687.39,199359000,700.55,879775000,3091.56,1393064000,4895.28,2113824000,7418,1311370000,4608.2,358426000,1259.52,1338653000,4704,913560000,3210.28,254814000,895.43,667614000,2346.02,358425000,1259.52,95233000,334.65,97492000,342.59,78568000,276.09,77749000,273.21,111171000,390.66,188476000,662.31,59151000,207.86,55007000,193.3,365430000,1284.13,0,0,1091758000,3836.48,284573,178.1666667
2002,Nevada,2587653000,7252.11,152525000,427.46,1582993000,4436.47,852135000,2388.18,2169974000,6034,1403531000,3933.51,400968000,1123.75,1343669000,3766,936928000,2625.82,267228000,748.93,738868000,2070.74,432624000,1212.46,124007000,347.54,78476000,219.94,82887000,232.3,35547000,99.62,150641000,422.18,218061000,611.13,84212000,236.01,89044000,249.55,604874000,1695.21,0,0,3249968000,9108.3,356814,178.1666667
2002,New Hampshire,1819692000,8960.82,85440000,420.74,943592000,4646.59,790660000,3893.5,1629025000,7750,980709000,4829.37,269856000,1328.87,1047490000,4913,720424000,3547.63,198169000,975.86,523976000,2580.25,237995000,1171.97,67142000,330.63,108683000,535.19,49807000,245.27,54808000,269.89,92529000,455.65,135648000,667.98,71332000,351.26,11169000,55,186830000,920.02,0,0,753970000,3712.82,203072,178.1666667
2002,New Jersey,17470524000,13136.1,720470000,541.72,7336383000,5516.23,9413671000,7078.15,15923111000,11436,9859412000,7413.3,2467324000,1855.18,9328162000,6608,6501098000,4888.18,1502137000,1129.46,5983500000,4499,3147830000,2366.86,818001000,615.06,1359778000,1022.42,572540000,430.49,425473000,319.91,813166000,611.42,1535698000,1154.69,938986000,706.02,337859000,254.04,1406121000,1057.26,171460000,128.92,6216195000,4673.96,1329963,178.1666667
2002,New Mexico,2536677000,7920.68,352892000,1101.89,1832491000,5721.89,351294000,1096.9,2133550000,6606,1363136000,4256.34,350142000,1093.31,1195658000,3733,881296000,2751.81,220829000,689.53,814180000,2542.25,435506000,1359.85,114793000,358.44,201700000,629.8,91590000,285.99,55609000,173.64,129233000,403.53,207693000,648.51,97929000,305.78,30426000,95,373224000,1165.38,0,0,894934000,2794.4,320260,178.1666667
2002,New York,35583142000,12502.56,2206496000,775.28,17337735000,6091.82,16038911000,5635.46,33730446000,11546,21602740000,7590.38,5772320000,2028.17,23167459000,7945,16379909000,5755.28,4555350000,1600.58,9379511000,3295.6,4689677000,1647.77,1169106000,410.78,989215000,347.57,896508000,315,644163000,226.33,1369274000,481.11,2727208000,958.24,1847841000,649.26,905302000,318.09,4809068000,1689.72,2317460000,814.27,17799691000,6254.13,2846068,178.1666667
2002,North Carolina,9699590000,7483.35,777970000,600.21,5929203000,4574.45,2992417000,2308.69,8488344000,6511,5960551000,4598.64,1172195000,904.36,5339340000,4119,4114060000,3174.05,786960000,607.15,2625671000,2025.74,1642259000,1267.02,336997000,260,464870000,358.65,293458000,226.41,148663000,114.7,582990000,449.78,655339000,505.6,287528000,221.83,192823000,148.77,1133555000,874.55,0,0,4337506000,3346.44,1296156,178.1666667
2002,North Dakota,806397000,7612.11,111063000,1048.4,303280000,2862.86,392054000,3700.86,718510000,6728,446821000,4217.84,119788000,1130.76,435631000,4112,312981000,2954.43,85482000,806.92,224356000,2117.84,115689000,1092.07,30577000,288.64,26356000,248.79,20535000,193.84,33362000,314.93,33860000,319.63,59132000,558.19,31824000,300.41,19287000,182.06,57468000,542.48,10900000,102.89,156953000,1481.58,105936,178.1666667
2002,Ohio,17429386000,9700.9,982401000,546.79,7811620000,4347.82,8635365000,4806.3,14927938000,8100,9335871000,5196.19,2787599000,1551.53,8477091000,4661,5958954000,3316.65,1686964000,938.94,5665971000,3153.58,3041494000,1692.84,986673000,549.17,856310000,476.61,914893000,509.21,392391000,218.4,853006000,474.77,1363351000,758.82,634855000,353.35,651165000,362.43,2128307000,1184.58,528603000,294.21,6078491000,3383.19,1796677,178.1666667
2002,Oklahoma,4365085000,7022.64,497834000,800.93,2345888000,3774.12,1521363000,2447.6,4079056000,6256,2370695000,3814.03,537544000,864.81,2193731000,3529,1582110000,2545.33,355624000,572.14,1439564000,2316,701361000,1128.36,161477000,259.79,252670000,406.5,145126000,233.48,116542000,187.5,209867000,337.64,443211000,713.05,131359000,211.33,140789000,226.5,341768000,549.84,0,0,1045530000,1682.07,621573,178.1666667
